Day Trade,Start Week,End Week,Start Date,End Date,#Samples,Invested (USD),Cashed (USD),Cashed/Invested (%),Last Trade,Last Price (USD),Profit Exit Level (%),Loss Exit Level (%),#Stocks,WINDOW5,WINDOW20,WINDOW50
close,892,932,1/26/2015,11/6/2015,82723,-14251.5,14141,99.22464302,SELL,122.32,115,70,50,7,21,56
close,976,993,9/6/2016,1/6/2017,34600,-14540.5,14906,102.5136687,BUY + SELL NOW,154.65,115,70,50,7,21,56
close,1036,1047,10/30/2017,12/31/2018,24253,-14660.5,12860,87.71869991,BUY + SELL NOW,113.01,115,70,50,7,21,56
close,968,1025,7/11/2016,8/18/2017,114532,-14411,14902,103.4071196,SELL,132.11,115,70,50,7,21,56
close,933,1026,11/9/2015,8/25/2017,184572,-34120,34931.5,102.3783705,SELL,134.93,115,70,50,7,21,56
close,895,1064,2/17/2015,12/31/2018,339201,-79053,79465.5,100.5218018,SELL,113.01,115,70,50,7,21,56
close,930,1071,10/19/2015,12/31/2018,282717,-50715.5,51648,101.8386884,SELL,113.01,115,70,50,7,21,56
close,924,1020,9/8/2015,7/14/2017,190407,-41062,41762,101.7047392,SELL,143.2,115,70,50,7,21,56
close,972,989,8/8/2016,12/9/2016,35278,-14705.5,14888.5,101.2444324,BUY + SELL NOW,151.76,115,70,50,7,21,56
close,961,996,5/23/2016,1/27/2017,70091,-21248,22090.5,103.9650791,BUY + SELL NOW,162.88,115,70,50,7,21,56
close,930,972,10/19/2015,8/12/2016,84891,-13349.5,14594.5,109.326192,BUY + SELL NOW,147.55,115,70,50,7,21,56
close,973,985,8/15/2016,11/11/2016,25870,0,0,0,SELL,147.07,115,70,50,7,21,56
close,1041,1080,12/4/2017,12/31/2018,81739,-29630,27188.5,91.7600405,SELL,113.01,115,70,50,7,21,56
close,910,940,6/1/2015,12/31/2015,61549,-7385,7341,99.4041977,SELL,121.9,115,70,50,7,21,56
close,936,985,11/30/2015,11/11/2016,98684,-26735,27172.5,101.6364316,SELL,147.07,115,70,50,7,21,56
close,1048,1096,1/22/2018,12/28/2018,100272,-22201.5,21098.5,95.03186722,SELL,113.5,115,70,50,7,21,56
close,893,1092,2/2/2015,12/31/2018,400640,-71928,72597.5,100.9307919,SELL,113.01,115,70,50,7,21,56
close,890,1049,1/12/2015,12/31/2018,318253,-64025,63608,99.34869192,SELL,113.01,115,70,50,7,21,56
close,987,1043,11/21/2016,12/22/2017,112666,-29398,29779,101.2960065,BUY + SELL NOW,144.61,115,70,50,7,21,56
close,905,1043,4/27/2015,12/22/2017,275577,-42366.5,43586,102.8784535,BUY + SELL NOW,144.61,115,70,50,7,21,56
close,1037,1068,11/6/2017,12/31/2018,65485,-14379.5,14388,100.0591119,SELL,113.01,115,70,50,7,21,56
close,922,1079,8/24/2015,12/31/2018,315428,-83870.5,82626,98.5161648,SELL,113.01,115,70,50,7,21,56
close,934,1046,11/16/2015,12/31/2018,222757,-40626,40473,99.62339389,BUY + SELL NOW,113.01,115,70,50,7,21,56
close,1047,1079,1/16/2018,8/31/2018,68021,-22383,21763.5,97.23227449,BUY + SELL NOW,143.29,115,70,50,7,21,56
close,973,983,8/15/2016,10/28/2016,21756,0,0,0,SELL,139.33,115,70,50,7,21,56
close,968,1034,7/11/2016,10/20/2017,132793,-21365.5,22504.5,105.3310243,BUY + SELL NOW,152.05,115,70,50,7,21,56
close,1061,1065,4/23/2018,5/25/2018,10423,-14030.5,13798,98.34289583,BUY + SELL NOW,139.58,115,70,50,7,21,56
close,1067,1087,6/4/2018,10/26/2018,43147,-14036.5,13308,94.80995975,SELL,122.74,115,70,50,7,21,56
close,978,1058,9/19/2016,12/31/2018,161702,-43697,44060.5,100.8318649,SELL,113.01,115,70,50,7,21,56
close,914,1022,6/29/2015,7/28/2017,215450,-42215,43131.5,102.1710293,SELL,134.29,115,70,50,7,21,56
close,907,923,5/11/2015,9/4/2015,34278,-7514,7389.5,98.34309289,SELL,126.59,115,70,50,7,21,56
close,981,1036,10/10/2016,11/3/2017,111168,-14339.5,15064.5,105.0559643,BUY + SELL NOW,144.19,115,70,50,7,21,56
close,935,1082,11/23/2015,12/31/2018,294371,-63892,63123.5,98.79718901,SELL,113.01,115,70,50,7,21,56
close,1044,1095,12/26/2017,12/31/2018,107102,-36733,35908.5,97.75542428,SELL,113.01,115,70,50,7,21,56
close,953,1019,3/28/2016,7/7/2017,131879,-27926,28300.5,101.3410442,SELL,142.2,115,70,50,7,21,56
close,984,1004,10/31/2016,3/24/2017,40651,-15309,16211.5,105.895225,BUY + SELL NOW,160.98,115,70,50,7,21,56
close,962,1001,5/31/2016,3/3/2017,77842,-28537,29357.5,102.8752146,BUY + SELL NOW,166.27,115,70,50,7,21,56
close,919,1085,8/3/2015,12/31/2018,333502,-57809.5,57298.5,99.11606224,SELL,113.01,115,70,50,7,21,56
close,941,1070,1/4/2016,12/31/2018,260064,-55843.5,57251.5,102.5213319,SELL,113.01,115,70,50,7,21,56
close,905,990,4/27/2015,12/16/2016,170393,-35412,36197,102.2167627,BUY + SELL NOW,153.93,115,70,50,7,21,56
close,891,985,1/20/2015,11/11/2016,188819,-34969,35413,101.269696,SELL,147.07,115,70,50,7,21,56
close,1003,1040,3/13/2017,12/1/2017,76093,-6954.5,7331,105.4137609,BUY + SELL NOW,146.62,115,70,50,7,21,56
close,1043,1053,12/18/2017,12/31/2018,22867,-22148.5,22068,99.63654424,SELL,113.01,115,70,50,7,21,56
close,1014,1067,5/30/2017,12/31/2018,109319,-29816,29411.5,98.64334585,SELL,113.01,115,70,50,7,21,56
close,1033,1095,10/9/2017,12/31/2018,129756,-22146.5,22194.5,100.2167385,SELL,113.01,115,70,50,7,21,56
close,912,1085,6/15/2015,12/31/2018,347712,-72311.5,71410.5,98.75400178,SELL,113.01,115,70,50,7,21,56
close,909,1029,5/26/2015,9/15/2017,238745,-35371,36490,103.1636086,SELL,136.08,115,70,50,7,21,56
close,947,1028,2/16/2016,9/8/2017,161343,-19535,21363.5,109.3601229,SELL,133.68,115,70,50,7,21,56
close,1025,1078,8/14/2017,12/31/2018,110294,-29397,27929.5,95.00799401,SELL,113.01,115,70,50,7,21,56
close,927,999,9/28/2015,2/17/2017,143551,-34432.5,35579.5,103.3311552,BUY + SELL NOW,166.55,115,70,50,7,21,56
close,952,1039,3/21/2016,11/24/2017,174008,-41467,41967.5,101.2069839,BUY + SELL NOW,143.91,115,70,50,7,21,56
close,1055,1082,3/12/2018,9/21/2018,56738,-22080,21902,99.19384058,BUY + SELL NOW,148.88,115,70,50,7,21,56
close,891,900,1/20/2015,3/27/2015,19964,-7032,6873.5,97.7460182,BUY + SELL NOW,137.47,115,70,50,7,21,56
close,905,945,4/27/2015,2/5/2016,81457,-7467,7228.5,96.80594616,SELL,116.98,115,70,50,7,21,56
close,898,921,3/9/2015,8/21/2015,48173,-14440,14141,97.92936288,SELL,132.91,115,70,50,7,21,56
close,1018,1065,6/26/2017,12/31/2018,97980,-22784,22521,98.84568118,SELL,113.01,115,70,50,7,21,56
close,1060,1071,4/16/2018,7/6/2018,24508,-7731.5,7334.5,94.865162,SELL,138.05,115,70,50,7,21,56
close,922,924,8/24/2015,9/11/2015,5910,-12915,12692.5,98.27719706,SELL,128.47,115,70,50,7,21,56
close,989,1036,12/5/2016,11/3/2017,95386,-14476,15064.5,104.0653495,BUY + SELL NOW,144.19,115,70,50,7,21,56
close,954,968,4/4/2016,7/15/2016,29817,-6884.5,7176.5,104.2414119,BUY + SELL NOW,143.53,115,70,50,7,21,56
close,904,1094,4/20/2015,12/31/2018,382853,-65276.5,65758,100.7376315,SELL,113.01,115,70,50,7,21,56
